date,avg_hourly_earnings,avg_weekly_hours,employment,labor_force,total_nonfarm_employment,unemployment,unemployment_rate
2023-01-01,33.05,34.6,160217.0,165964.0,154780.0,5747.0,3.5
2023-02-01,33.16,34.4,160395.0,166358.0,155086.0,5962.0,3.6
2023-03-01,33.28,34.4,160812.0,166651.0,155171.0,5839.0,3.5
2023-04-01,33.42,34.4,160974.0,166725.0,155387.0,5751.0,3.4
2023-05-01,33.52,34.4,160796.0,166886.0,155614.0,6089.0,3.6
2023-06-01,33.69,34.4,160979.0,166937.0,155871.0,5958.0,3.6
2023-07-01,33.84,34.3,161183.0,167103.0,156019.0,5920.0,3.5
2023-08-01,33.89,34.4,161475.0,167759.0,156176.0,6284.0,3.7
2023-09-01,33.99,34.4,161442.0,167767.0,156334.0,6326.0,3.8
2023-10-01,34.07,34.3,161211.0,167690.0,156520.0,6479.0,3.9
2023-11-01,34.19,34.4,161886.0,168140.0,156661.0,6254.0,3.7
2023-12-01,34.31,34.4,161124.0,167439.0,156930.0,6315.0,3.8
2024-01-01,34.47,34.2,161190.0,167339.0,157049.0,6149.0,3.7
2024-02-01,34.54,34.3,161013.0,167475.0,157271.0,6462.0,3.9
2024-03-01,34.67,34.4,161425.0,167922.0,157517.0,6497.0,3.9
2024-04-01,34.75,34.2,161495.0,167988.0,157635.0,6492.0,3.9
2024-05-01,34.89,34.3,161164.0,167799.0,157828.0,6635.0,4.0
2024-06-01,35.0,34.3,161155.0,168005.0,157915.0,6849.0,4.1
2024-07-01,35.07,34.2,161219.0,168315.0,158003.0,7097.0,4.2
2024-08-01,35.23,34.3,161425.0,168496.0,158074.0,7071.0,4.2
2024-09-01,35.33,34.2,161802.0,168703.0,158314.0,6901.0,4.1
2024-10-01,35.48,34.3,161456.0,168428.0,158358.0,6972.0,4.1
2024-11-01,35.61,34.3,161183.0,168304.0,158619.0,7121.0,4.2
2024-12-01,35.68,34.2,161661.0,168547.0,158942.0,6886.0,4.1
2025-01-01,35.83,34.1,163895.0,170744.0,159053.0,6849.0,4.0
2025-02-01,35.9,34.2,163307.0,170359.0,159155.0,7052.0,4.1
2025-03-01,36.02,34.3,163508.0,170591.0,159275.0,7083.0,4.2
2025-04-01,36.08,34.3,163969.0,171135.0,159433.0,7166.0,4.2
2025-05-01,36.23,34.3,163273.0,170510.0,159452.0,7237.0,4.2
2025-06-01,36.31,34.2,163366.0,170380.0,159439.0,7015.0,4.1
2025-07-01,36.43,34.3,163106.0,170342.0,159511.0,7236.0,4.2
2025-08-01,36.58,34.2,163394.0,170778.0,159507.0,7384.0,4.3
2025-09-01,36.67,34.2,163645.0,171248.0,159626.0,7603.0,4.4
